iter	MultiClass
0	1.667485573
1	1.555378924
2	1.467446776
3	1.379726216
4	1.311804506
5	1.241992168
6	1.184082837
7	1.132931333
8	1.082482894
9	1.038393855
10	0.9978455973
11	0.961580916
12	0.9274004004
13	0.8947459646
14	0.8627654692
15	0.8350662648
16	0.807238712
17	0.7830063774
18	0.7607577788
19	0.7396602847
20	0.7194592068
21	0.7012160559
22	0.6836500365
23	0.6656153071
24	0.6500982131
25	0.6357827322
26	0.6215234001
27	0.608559056
28	0.5963428083
29	0.5850871583
30	0.5740160644
31	0.5635675349
32	0.5530847496
33	0.5432711797
34	0.5338315414
35	0.5247799764
36	0.5163948527
37	0.508394179
38	0.5008408445
39	0.4941502801
40	0.4873201177
41	0.480655056
42	0.4733008282
43	0.4675923001
44	0.46105901
45	0.4552679059
46	0.450043459
47	0.4448193629
48	0.4398983991
49	0.4354685544
