iter	Passed	Remaining
0	46	2254
1	86	2079
2	126	1976
3	167	1922
4	211	1902
5	255	1874
6	395	2429
7	459	2410
8	529	2414
9	579	2319
10	618	2192
11	652	2066
12	689	1961
13	733	1887
14	770	1798
15	810	1723
16	855	1660
17	908	1615
18	952	1554
19	997	1496
20	1036	1431
21	1077	1370
22	1113	1307
23	1154	1250
24	1197	1197
25	1242	1147
26	1285	1095
27	1328	1043
28	1368	990
29	1411	941
30	1456	892
31	1495	841
32	1530	788
33	1570	739
34	1618	693
35	1664	647
36	1706	599
37	1745	551
38	1820	513
39	1928	482
40	2007	440
41	2061	392
42	2102	342
43	2140	291
44	2184	242
45	2240	194
46	2319	148
47	2395	99
48	2461	50
49	2529	0
