iter	MultiClass
0	1.741004222
1	1.701422922
2	1.665513207
3	1.635117203
4	1.609384589
5	1.578479103
6	1.557374265
7	1.540456034
8	1.517893337
9	1.500248922
10	1.472063748
11	1.454522183
12	1.436870625
13	1.416028256
14	1.406037437
15	1.395053054
16	1.376817488
17	1.360566806
18	1.347393012
19	1.329805122
20	1.317914812
21	1.296133544
22	1.290234541
23	1.273070668
24	1.262146543
25	1.251478162
26	1.241785968
27	1.228625751
28	1.213163525
29	1.204905798
30	1.194198766
31	1.184572228
32	1.176428104
33	1.168787863
34	1.161764835
35	1.149552588
36	1.145008666
37	1.137204507
38	1.129399239
39	1.121785839
40	1.114776501
41	1.107825994
42	1.103133049
43	1.0950512
44	1.092100202
45	1.082051982
46	1.07281594
47	1.068551195
48	1.062459767
49	1.055493383
