iter	Passed	Remaining
0	30	1473
1	53	1275
2	76	1191
3	100	1156
4	127	1147
5	152	1120
6	177	1089
7	201	1059
8	224	1021
9	246	986
10	273	968
11	296	938
12	320	913
13	347	892
14	370	865
15	395	839
16	422	819
17	448	797
18	473	773
19	500	750
20	525	725
21	553	704
22	574	674
23	601	651
24	626	626
25	651	600
26	674	574
27	699	549
28	723	524
29	747	498
30	769	471
31	794	446
32	818	421
33	843	397
34	865	371
35	891	346
36	911	320
37	933	294
38	969	273
39	1008	252
40	1046	229
41	1083	206
42	1117	181
43	1171	159
44	1219	135
45	1277	111
46	1314	83
47	1343	55
48	1370	27
49	1395	0
